artista_id,artista_nome,popularidade,uri,seguidores,genero
3Xzuoddg3G2f1uMQgRU8uh,Junior Vianna,48,spotify:artist:3Xzuoddg3G2f1uMQgRU8uh,326646,"['forro', 'vaqueiro']"
1r4hJ1h58CWwUQe3MxPuau,Maluma,82,spotify:artist:1r4hJ1h58CWwUQe3MxPuau,33679596,"['latin pop', 'reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']"
7GQDI5Vmxs92RsIRZzYT11,Pirlo,64,spotify:artist:7GQDI5Vmxs92RsIRZzYT11,355571,[]
3VHAySZQPlfGlNLslzXYpN,NATHY PELUSO,62,spotify:artist:3VHAySZQPlfGlNLslzXYpN,1154812,"['r&b en espanol', 'rap latina']"
58lV9VcRSjABbAbfWS6skp,Bon Jovi,76,spotify:artist:58lV9VcRSjABbAbfWS6skp,13191614,"['glam metal', 'rock']"
15a4XZHhLX9jMVKnIUn79T,Luana Berti,32,spotify:artist:15a4XZHhLX9jMVKnIUn79T,30411,['musica catarinense']
7ngCAsErkhMSQ3Nce0QpYj,Darlan,32,spotify:artist:7ngCAsErkhMSQ3Nce0QpYj,2895,['pagode novo']
6AntiZOHajTmgPhdLGKYNm,GABI LINS,19,spotify:artist:6AntiZOHajTmgPhdLGKYNm,3452,[]
590jgrhOiQjSIASrY4mwPW,Hiran,28,spotify:artist:590jgrhOiQjSIASrY4mwPW,16077,"['afrofuturismo brasileiro', 'nova mpb', 'pop lgbtq+ brasileira']"
2uGKgNuq7MnKksXiSO6HjB,KVSH,59,spotify:artist:2uGKgNuq7MnKksXiSO6HjB,424729,"['brazilian edm', 'trance brasileiro']"
32kPQzj1rk4nnGIIJpIUic,CERES,64,spotify:artist:32kPQzj1rk4nnGIIJpIUic,8734,['hypertechno']
58wlWYajhaIloGV3GlPd9M,DISORDER,24,spotify:artist:58wlWYajhaIloGV3GlPd9M,11484,"['brazilian bass', 'brazilian edm']"
3DnNQH13SfSOjZDsVEa0ht,Liu,52,spotify:artist:3DnNQH13SfSOjZDsVEa0ht,270190,['brazilian edm']
2K91we4sYTdu2m0nRdO940,Alex O'Clock,17,spotify:artist:2K91we4sYTdu2m0nRdO940,259,[]
6gYwbDKcqhLitCTlgF1oZn,Maz,53,spotify:artist:6gYwbDKcqhLitCTlgF1oZn,45412,['melodic house']
3of9b8iUxyXtfnwwahfUNx,Antdot,49,spotify:artist:3of9b8iUxyXtfnwwahfUNx,20666,['brazilian edm']
2o5jDhtHVPhrJdv3cEQ99Z,Tiësto,82,spotify:artist:2o5jDhtHVPhrJdv3cEQ99Z,7262254,"['big room', 'brostep', 'dutch edm', 'edm', 'house', 'pop dance', 'progressive electro house', 'slap house', 'trance']"
03O6WINYmDJRCE2EUFaykv,Prophecy,43,spotify:artist:03O6WINYmDJRCE2EUFaykv,1768,[]
7Lmrb6KcIzfkmgbtokjsAL,Mc Don Juan,73,spotify:artist:7Lmrb6KcIzfkmgbtokjsAL,5004101,"['arrocha', 'batidao romantico', 'funk carioca', 'funk mtg', 'funk paulista']"
6iUG0pMyifNBudO9B1s7cD,Mc guizinho niazi,52,spotify:artist:6iUG0pMyifNBudO9B1s7cD,21439,['funk mtg']
0f1IECbrVV952unZkzrsg2,Mc Gw,77,spotify:artist:0f1IECbrVV952unZkzrsg2,1494347,"['funk carioca', 'funk mtg', 'funk paulista', 'funk rj']"
1aQbanZ6xPrOtTYtsMdm3Q,DJ Kaioken,39,spotify:artist:1aQbanZ6xPrOtTYtsMdm3Q,977,[]
