album_id,album_nome,album_tipo,data_lancamento,uri,artistas_nome,nr_musicas
21WztWOMbdgXAP5KPxCTh8,No Meio Da Vaquejada - Pt.5,single,2024-05-17,spotify:album:21WztWOMbdgXAP5KPxCTh8,"['29OyPpZR54SPGzG4YmQ8gY', '3Xzuoddg3G2f1uMQgRU8uh']",3
3jjWzpGtGBUoMEDduwVvrB,MIONCA,single,2024-05-14,spotify:album:3jjWzpGtGBUoMEDduwVvrB,"['1r4hJ1h58CWwUQe3MxPuau', '7GQDI5Vmxs92RsIRZzYT11']",1
3xWnv7DudHRqaLOjFoyVcv,APRENDER A AMAR,single,2024-05-17,spotify:album:3xWnv7DudHRqaLOjFoyVcv,['3VHAySZQPlfGlNLslzXYpN'],1
033ib5SQJwXO1IXLPUXfuA,Living Proof,single,2024-05-17,spotify:album:033ib5SQJwXO1IXLPUXfuA,['58lV9VcRSjABbAbfWS6skp'],2
55eSfLlD9JaXeucxTGoTR9,Não Me Atende,single,2024-05-16,spotify:album:55eSfLlD9JaXeucxTGoTR9,"['15a4XZHhLX9jMVKnIUn79T', '7ngCAsErkhMSQ3Nce0QpYj']",1
20eU0j8SXSc2mh2izxIvlb,BALANCEI,single,2024-05-17,spotify:album:20eU0j8SXSc2mh2izxIvlb,"['6AntiZOHajTmgPhdLGKYNm', '590jgrhOiQjSIASrY4mwPW']",1
3leEcSpfr1uqP5PXgmRbXI,Party All The Time,single,2024-05-17,spotify:album:3leEcSpfr1uqP5PXgmRbXI,"['2uGKgNuq7MnKksXiSO6HjB', '32kPQzj1rk4nnGIIJpIUic', '58wlWYajhaIloGV3GlPd9M']",1
1h91E7DWJbcg7YVuCmXReC,Bad Boys,single,2024-05-17,spotify:album:1h91E7DWJbcg7YVuCmXReC,"['3DnNQH13SfSOjZDsVEa0ht', '2K91we4sYTdu2m0nRdO940']",1
7H9Zk7eP2W1C3XFhRIOsPC,Run,single,2024-05-16,spotify:album:7H9Zk7eP2W1C3XFhRIOsPC,"['6gYwbDKcqhLitCTlgF1oZn', '3of9b8iUxyXtfnwwahfUNx']",1
0qmEnrR9K8ho8OrxvS6rKe,My City,single,2024-05-15,spotify:album:0qmEnrR9K8ho8OrxvS6rKe,"['2o5jDhtHVPhrJdv3cEQ99Z', '03O6WINYmDJRCE2EUFaykv']",1
2HxYj7Rn1wwr1vXl85rKiE,Semblante,single,2024-05-17,spotify:album:2HxYj7Rn1wwr1vXl85rKiE,"['7Lmrb6KcIzfkmgbtokjsAL', '6iUG0pMyifNBudO9B1s7cD', '0f1IECbrVV952unZkzrsg2', '1aQbanZ6xPrOtTYtsMdm3Q']",1
7Mm54Cl19ex1Hg0ZJ4pSj7,Outra Vez,single,2024-05-17,spotify:album:7Mm54Cl19ex1Hg0ZJ4pSj7,"['6RC5tRbakJ46EExHuPmxzK', '6qfyniwgtYmjHxNTtJ0hKH', '4yFJeWVY6IZLc5KcYCvtBE']",1
6ww8wAcDTPJ5Bal1kWRzJU,Malote,single,2024-05-16,spotify:album:6ww8wAcDTPJ5Bal1kWRzJU,"['24km46riM1Ch9H1eNDQcuX', '3nfVTPYDnppERKGCRS4vim', '5l8uNQWdIozojTbL2tzBa7', '3PLe9jQKKCodC1Q6kB5MdA', '3ls0I42IWbgbZFnFCfi21m']",1
5gZ7szDd6AHem7tOXb6J12,CONTROVERSO,single,2024-05-15,spotify:album:5gZ7szDd6AHem7tOXb6J12,"['1oBkccDqIDMTntIIHKlJBp', '3TKi2ihPsE1ViCKxLKxQm7', '0xKbHuoAoxvPu5uGax4d9l', '63nBMbY97bsURu2s0MvRGt']",1
0l7LPgh7MmZhl8ybWm8vWf,Meu Primeiro Milhão,album,2024-05-17,spotify:album:0l7LPgh7MmZhl8ybWm8vWf,['6EU3PugukCcYs0n3JuXjrH'],11
3DQ5gtY52GVBCzIZGSrYLG,Eu amo ser negona,single,2024-05-16,spotify:album:3DQ5gtY52GVBCzIZGSrYLG,"['1wYviDrVOvFPtg3CFn3DHp', '1tbm8dDyvUKWMZPikJM7UR']",1
4I9szP3AlFdtApGNIdalSj,Ligando Pra Mim,single,2024-05-17,spotify:album:4I9szP3AlFdtApGNIdalSj,"['47uUoDpXa9wZj4obYiDvT2', '6jzMs6d8ZBWusxRUCB04gh']",1
1WK4cgs0SfFxySJcBrH2W2,PULA PULA NA FOGUEIRA,single,2024-05-17,spotify:album:1WK4cgs0SfFxySJcBrH2W2,['20L3gYREq24KddkFreyiNv'],1
6PAVVsvSVPpbWEte22T79u,Tipo Ontem,single,2024-05-17,spotify:album:6PAVVsvSVPpbWEte22T79u,"['6E2st8OqIaS7PU5gj95FSE', '4xcFNIVM3qTAXKmGRcBxx2', '64xQ854jZk1zMWXNud2Crt', '1FrO6hhB0YyDvFJMonSY9T', '5IpCG7K8h5YfPavIWLf2ne', '0DSySEdxjlahXmxW4x0fak', '4WbHbolEKZIhnkO2xv2Lm0']",1
1ebEKaqrsF8cAKgyhoJSy9,Até Que a Internet nos Separe,single,2024-05-17,spotify:album:1ebEKaqrsF8cAKgyhoJSy9,"['0kj68SnX4WCXwveyBbRX8p', '6rygauyIMQJrXRC4e5rQJP', '2ZieriKz5skaKbl8mlt6hY']",1
5U2YIrsp6IcLSFFmeYhmuO,Sarra na Glock,single,2024-05-16,spotify:album:5U2YIrsp6IcLSFFmeYhmuO,"['4CVIvdHpdkuoolMGDDiEYV', '2UMj7NCbuqy1yUZmiSYGjJ', '0DJpGYLwnwr6CPnMvQvlBN']",1
1I7EalZull9uExJUT1NePX,Set DJ Huguinho #01,single,2024-05-17,spotify:album:1I7EalZull9uExJUT1NePX,"['4wwEIIZHZG4WFy0PfZnKTn', '5ni65R3Lu8gNiQEHN6Gspw', '5wexipxdAAr4K9TSxP9tt3', '7FqfJqrsIOjZU2mjWIY1MB']",1
73PDX2aGlYnBR7oHjfiiGJ,Nem sei,single,2024-05-17,spotify:album:73PDX2aGlYnBR7oHjfiiGJ,"['7JswWkHCTMyEgHlNXOvK6p', '3Z3KpO4RqycQD8f4hfnT3g', '3eegqYNOBDWAuQME8S5W1q']",1
6Hjse8kk66fhGKTTU7E0wK,Hydro,single,2024-05-16,spotify:album:6Hjse8kk66fhGKTTU7E0wK,"['68wF4X9K8JFav3YlPFtsR2', '5CFIBhFm7Ndt7xVCBwwlrF']",1
5fFweKRo0UDxLbdmaNW2jE,Ímã de Piranha,single,2024-05-17,spotify:album:5fFweKRo0UDxLbdmaNW2jE,"['0FoX5QU1aUxCGGMmrhrHok', '1ZcIMjx9kP46pUdFOdjWKQ', '46X4pYJUu5L7QsDIa3EP6t']",1
6Lm4UHzxiOunk2TiNp3G2d,Banco Do Corolla,single,2024-05-17,spotify:album:6Lm4UHzxiOunk2TiNp3G2d,"['14jVHWj9dqpLhs8hHEMnyJ', '5cS7sjRxRrlA7v6uWpEoTb']",1
3k9K76KW1hZYow6KHudk3Y,Inseguro,single,2024-03-26,spotify:album:3k9K76KW1hZYow6KHudk3Y,['67PBrqP0nECUumF2AQ8G6S'],1
3rGJ6cgVnFrVNPltdYd3q4,No Todo,single,2024-05-17,spotify:album:3rGJ6cgVnFrVNPltdYd3q4,"['0hUnMWEMD2Om6juG3dBJTE', '42xf1iqSOZluDWJ8RW2B9H', '1CQPPiPRlXbiMvDBO67c6w', '2ECTJpRqtJ5BbavpnhHT01']",1
3a63XpQ1GsZ55I6KRNY0vh,Sem Saber Seu Nome,single,2024-05-13,spotify:album:3a63XpQ1GsZ55I6KRNY0vh,['3iEB8nwJu246B3fN4zPuqW'],1
1aTqCkWeRFEngYnG3xj9xq,Te Encontrar,single,2024-05-17,spotify:album:1aTqCkWeRFEngYnG3xj9xq,['5pm4O3fcYf0iiV1Bm2QqJn'],1
