playlist_id,data_add,duracao,musica_id,musica_nome,popularidade,uri,album_id,artista_id
37i9dQZF1DX34KNiFQJNVm,2024-05-18T15:00:00Z,353497,1CptCgwaWniIYlqeM6SXmS,Run,40,spotify:track:1CptCgwaWniIYlqeM6SXmS,7H9Zk7eP2W1C3XFhRIOsPC,"['6gYwbDKcqhLitCTlgF1oZn', '3of9b8iUxyXtfnwwahfUNx']"
37i9dQZF1DX34KNiFQJNVm,2024-05-18T15:00:00Z,151874,5sjvmFMLPjBXDd2XDr9JIm,My City,52,spotify:track:5sjvmFMLPjBXDd2XDr9JIm,0qmEnrR9K8ho8OrxvS6rKe,"['2o5jDhtHVPhrJdv3cEQ99Z', '03O6WINYmDJRCE2EUFaykv']"
37i9dQZF1DX34KNiFQJNVm,2024-05-18T15:00:00Z,111692,4klmETAwPQiaGrFUzgHl3F,Semblante,37,spotify:track:4klmETAwPQiaGrFUzgHl3F,2HxYj7Rn1wwr1vXl85rKiE,"['7Lmrb6KcIzfkmgbtokjsAL', '6iUG0pMyifNBudO9B1s7cD', '0f1IECbrVV952unZkzrsg2', '1aQbanZ6xPrOtTYtsMdm3Q']"
37i9dQZF1DX34KNiFQJNVm,2024-05-18T15:00:00Z,151181,3dlJbCPE0fPtXCgmSwPd8u,Outra Vez,29,spotify:track:3dlJbCPE0fPtXCgmSwPd8u,7Mm54Cl19ex1Hg0ZJ4pSj7,"['6RC5tRbakJ46EExHuPmxzK', '6qfyniwgtYmjHxNTtJ0hKH', '4yFJeWVY6IZLc5KcYCvtBE']"
37i9dQZF1DX34KNiFQJNVm,2024-05-18T15:00:00Z,300495,6hend0qyIwXCPsDzFM7Dvd,Malote,26,spotify:track:6hend0qyIwXCPsDzFM7Dvd,6ww8wAcDTPJ5Bal1kWRzJU,"['24km46riM1Ch9H1eNDQcuX', '3nfVTPYDnppERKGCRS4vim', '5l8uNQWdIozojTbL2tzBa7', '3PLe9jQKKCodC1Q6kB5MdA', '3ls0I42IWbgbZFnFCfi21m']"
37i9dQZF1DX34KNiFQJNVm,2024-05-18T15:00:00Z,161280,6QJVLzl2HNsGb4f1NlPZvD,CONTROVERSO,29,spotify:track:6QJVLzl2HNsGb4f1NlPZvD,5gZ7szDd6AHem7tOXb6J12,"['1oBkccDqIDMTntIIHKlJBp', '3TKi2ihPsE1ViCKxLKxQm7', '0xKbHuoAoxvPu5uGax4d9l', '63nBMbY97bsURu2s0MvRGt']"
37i9dQZF1DX34KNiFQJNVm,2024-05-18T15:00:00Z,250230,418oADxqXroPzR978CtE7G,Conflito,32,spotify:track:418oADxqXroPzR978CtE7G,0l7LPgh7MmZhl8ybWm8vWf,['6EU3PugukCcYs0n3JuXjrH']
37i9dQZF1DX34KNiFQJNVm,2024-05-18T15:00:00Z,157013,1z4NEIfISzguBEdmmFzl9h,Eu amo ser negona,29,spotify:track:1z4NEIfISzguBEdmmFzl9h,3DQ5gtY52GVBCzIZGSrYLG,"['1wYviDrVOvFPtg3CFn3DHp', '1tbm8dDyvUKWMZPikJM7UR']"
37i9dQZF1DX34KNiFQJNVm,2024-05-18T15:00:00Z,106415,6Ss9lsAU2JpTUqGLpHK7wB,Ligando Pra Mim,30,spotify:track:6Ss9lsAU2JpTUqGLpHK7wB,4I9szP3AlFdtApGNIdalSj,"['47uUoDpXa9wZj4obYiDvT2', '6jzMs6d8ZBWusxRUCB04gh']"
37i9dQZF1DX34KNiFQJNVm,2024-05-18T15:00:00Z,142897,5KAfOi2PYkaAYoqltQWVNI,PULA PULA NA FOGUEIRA,25,spotify:track:5KAfOi2PYkaAYoqltQWVNI,1WK4cgs0SfFxySJcBrH2W2,['20L3gYREq24KddkFreyiNv']
37i9dQZF1DX34KNiFQJNVm,2024-05-18T15:00:00Z,278241,47RYXL6oLVLkK9AmaUWR2p,Tipo Ontem,31,spotify:track:47RYXL6oLVLkK9AmaUWR2p,6PAVVsvSVPpbWEte22T79u,"['6E2st8OqIaS7PU5gj95FSE', '4xcFNIVM3qTAXKmGRcBxx2', '64xQ854jZk1zMWXNud2Crt', '1FrO6hhB0YyDvFJMonSY9T', '5IpCG7K8h5YfPavIWLf2ne', '0DSySEdxjlahXmxW4x0fak', '4WbHbolEKZIhnkO2xv2Lm0']"
